Title,Body
P90X Complete home fitness DVD set for sale!,"I have the complete P90X home fitness DVD set for sale! It includes 12 instructional DVDs that cover front & back, plyometrics, shoulders and arms, yoga x, legs and back, kenpo x, x stretch, core synergistics, chest and shoulders, and triceps, backs & biceps, cardio x and ab ripper x. You will not find a better work out system! Tony Horton guides you through each exercise step by step. Do each exercise at your own pace! Perfect for beginners as well as experts. Exercises require no or minimal equipment. Please contact me at hoffmann@rose-hulman.edu if you are interested. I am asking $50 but willing to negotiate! Thank you."
Bake Sale Today!,Come to Moench Commons today and tomorrow to help Odyssey of the Mind represent Rose-Hulman at national competition!
Need Assistance,"I am working on an independent research project and I need some assistance. All I need is one person (any major). It shouldn't take up too much time. I really need this done, so I would greatly appreciate the help. Please email me if interested for details. Thank you."
IM Home Run Derby!!,"* The annual IM Wiffleball Home Run Derby will be held next Tuesday (March 26th) at 6:30pm in the SRC Hulbert Arena. No need to pre-register, just sign up at the registration table set up outside of Hulbert Arena by 6:15pm. There will be a limit of 50 participants for this event, so please arrive by 6:15pm to insure your spot in the competition.



IM Wiffleball Home Run Derby

Who: Open to all Rose-Hulman students (not Rose-Hulman Baseball or Softball Players), faculty and staff. There will be a limit of 50 participants for this event, so please arrive early to insure your spot in the competition. Male and Female participation are both strongly encouraged!!! We will have both a Male and Female Champion for each division; Greek, Residence Hall and Independent. We will have both a male bracket and a female bracket for each round of the derby.

What: Intramural Wiffleball Home Run Derby Competition. Each participant will receive pitches until they obtain 10 outs. Foul balls, swinging strikes and balls that do not clear the “fence” will count towards the 10 outs.

When: Tuesday, March 26th @ 6:30pm. 

Where: Hulbert Arena in the SRC.

Why: Intramural points will be awarded to the winning Residence Hall, Independent, and Greek participants (5 Points) towards the Intramural All Sports Champion. Awards will also be given to the winners.

Additional Details: No need to pre-register. Please arrive at the registration table just outside of Hulbert Arena in the SRC by 6:15pm on Tuesday, March 26th to sign up. There will be a limit of 50 participants for this event, so please arrive early to insure your spot in the Home Run Derby. More details and competition rules are attached to this posting. 
 
Thank you,
 
Dan O'Leary
Coordinator for Intramurals, 
Club Sports and Special Events
PHONE:    812-877-8987
CELL:        812-201-79035500 WABASH AVENUE   CM 37
TERRE HAUTE, IN  47803-3920
www.rose-hulman.edu"
Lost Camera,I founda pink Sony Cyber-Shot lying on the ground near the cross walk next to BSB. Come to Speed 315 to claim or email jenkinjk@rose-hulman.edu
ZUMBA in the Union Tuesday 8am & 5pm,"Ever wanted to try Zumba? Aramark's Ryan Rogers will be teaching two introductory sessions Tuesday 8am & 5pm in the Kahn Room. Come try this calorie-busting session that works your brain as well as your body. All are welcome!

Sponsored by Live Well Think Well
Questions to ingram@rose-hulman.edu"
Lost Samsung Phone,"Hello

To the good samaritan who found my Samsung Note II phone in Olin and took it down by the SCR:
If you could just return my device to me,
That would be great.

I live LakeSide 405 on campus.
My email is whitemrj@rose-hulman.edu

It looks like this:
http://www.amazon.com/gp/product/B009SF90JU/ref=oh_details_o09_s00_i00?ie=UTF8&psc=1

Thank you,
Ruffin White"
EVGA GTX 680 Superclocked for sale,"Works great, in excellent condition. $400 OBO.
part number: 02G-P4-2684-KR http://www.newegg.com/Product/Product.aspx?Item=N82E16814130771
I'd like to get rid of this quickly since I could use the cash."
House for rent next year.,"There is a house for rent 5 to 10 minutes away from campus out past the airport.  It has a lot of yard, two fire pits, and a pool! It is a four bedroom house with a master bed room in which two people could live in that bed room easily.  It has two baths, full kitchen, and a big living room.  Water is well water so only have to pay for electric.  Rent is about 1200 a month.  Our landlord is a nice guy and asked if we could help out so we are looking for new tenants.  Contact me if interested and I will set up contact with the landlord."
Bake Sale - Last chance!,Come to Moench Commons today for some delicious baked goods and help Odyssey of the Mind represent Rose-Hulman at World Finals!!
Lost Calculator,"I lost my calculator sometime on academic campus yesterday. It is a black TI-83. My name isn't on it in any way and there shouldn't be any unique markings or scratches. If you have seen it, please contact me at hukillbj@rose-hulman.edu"
NCAA March Madness-HSS Dept.,"Come to the HSS Department for March Madness!
This Thursday and Friday (March 21st & 22nd) come get your free popcorn, Gatorade and catch the NCAA tournament games on our television and the big screen!
Beginning at 12:15PM and continuing throughout the day or until we run out of snacks!"
IM Softball Games moved into SRC for Wednesday and Thursday!!,"Softball Captains,
 
Looking ahead at the weather for Wednesday and Thursday, the forecast does not look good. Both days will have temperatures in the low 30s/high 20s with strong winds. Due to this, the Intramural department has decided to move all softball games scheduled for Wednesday and Thursday, March 20th and 21st into the SRC. Instead of softball, all games will be wiffleball. 
 
The game schedule will stay the same, meaning your team will face the team that was scheduled against you in softball. Game times will be the same as they are scheduled for softball.
 
These games will count in your softball team’s record!
 
Rules will be the same as softball (unless noted below), with 3 pitches allowed by a pitcher that is a member of the hitting team.
 
Additional Rules for games in the FIELDHOUSE:

There are no homeruns unless a batter makes it around all 4 bases while the ball is in play.
If the ball is hit fair and gets STUCK  in the net or ceiling, it is a dead ball and a re-pitch. This means the hit and pitch do not count, the batter returns to the batter’s box and tries again. For example, if the batter hits pitch #2 and it gets stuck in the net, when he/she returns to the batter’s box, he/she will face pitch #2 again.

Note: Every curtain, ceiling, light, or apparatus used to hang the curtains is considered in-play, meaning balls can hit and bounce off of these things. It is only a re-pitch if the ball gets stuck in such a place. 
A fair ball that is hit and rolls or bounces under the curtains surrounding the courts is considered a ground-rule double. 
 
Additional Rules for games in the ARENA:

If the ball is hit fair and gets STUCK  in the ceiling, it is a dead ball and a re-pitch. This means the hit and pitch do not count, the batter returns to the batter’s box and tries again. For example, if the batter hits pitch #2 and it gets stuck in the ceiling, when he/she returns to the batter’s box, he/she will face pitch #2 again.
A fair ball hit onto the balcony will be ruled a home run.
Note: Every wall, bleacher, ceiling, light, or railing is considered in-play, meaning balls can hit and bounce off of these things. It is only a re-pitch if the ball gets stuck in such a place

Thank you and please let me know if you have any questions!
 
Dan O'Leary
Coordinator for Intramurals, 
Club Sports and Special Events
PHONE:    812-877-8987
CELL:        812-201-79035500 WABASH AVENUE   CM 37
TERRE HAUTE, IN  47803-3920
www.rose-hulman.edu"
CELL PHONE FOUND,A cell phone was found today in the women's restroom in Olin Hall.
Living in Terre Haute this Summer?,"Are you living in the Haute this summer?
This summer, my roommates and I would like to sublet our apartment. We live in Sycamore Terrace, the apartments by Walmart on 46, so you will be close to campus, Ventures, and the store. We are asking for $425 a month per person to cover rent, but we will cover the utilities (water and electricity) provided they stay reasonable (under $100 for each utility).
 This may seem a bit high, but each room will come fully furnished as well as the following amenities:
For each room:
Bed with ALL Necessities including Sheets, Pillows, and Comforter  
Desk
Dresser and/or Closet
Also available to you:
Washer
Dryer
Great Internet
Cable TV
Home Theater System with HD Projector, Blu-ray Player, and Surround Sound
Wireless Color Printer
Pool
Work Out Room
Great AC
Close to Campus!
Close to Ventures!
We will only have two rooms to rent out as I am staying in town and will be using my room.
 If you are interested, please email me at gorebk@rose-hulman.edu .
 Have a great day, and we hope your third week goes well!"
Need Heat Transfer (ME302) book,"I'm looking to buy the book for ME302, Heat Transfer. Email me at redelmrw@rose-hulman.edu."
Summer Sublet,"Located at Sharp Flats East (half a mile from Rose, within easy walking distance). Right by Rollies! Available Jun 1 to Aug 10. Rent is $410/mo... or best offer! Email me at haflicba@rose-hulman.edu if you want to check it out. :)"
Looking for a PC Power Supply,"Hello all,

I'm looking for a power supply to run the 3D printer I made. My current (ha! pun) power supply can't keep up with my printer's demand. If you have a PC power supply rated at 250 watts or more, please send me an email gehriccd@rose-hulman.edu so that we can work something out.

Thanks."
March Madness Pick'em Registration Deadline,"* Registration for the March Madness Pick'em ends tomorrow at 12:00pm (Noon). 
 
 
The deadline to register for the tournament is Thursday, March 21st, which is the day the tournament begins. Please be sure to log onto www.espn.go.com and register for the tournament before games begin.


 
IM March Madness Pick'em

Who: Open to all Rose-Hulman students, faculty, and staff. We will have a winner from the res hall, greek and independent divisions. As well as a male and female winner for each division.

What: Intramural March Madness Pick'em. 

When: Registration begins today, Friday, March 15th. The registration deadline is Thursday, March 21st before games begin. Once games begin you will not be allowed to enter a bracket.

How to Register: Visit the ESPN College Tournament Challenge at http://games.espn.go.com/tournament-challenge-bracket/en/frontpage. If you already have an ESPN account go ahead and sign-in. If not, you will need to create on account, which is FREE! After signing into the Tournament Challenge click ""Join a Group"". We have set up 3 different private groups; one for Greek, one for res hall, and one for independent. Please sign up in the group that you would like to represent (for example: if you are in a fraternity sign up for RHIT IMs Greek). The group ID and password is below:

Group ID: RHIT IMs Greek, RHIT IMs Res Hall, or RHIT IMs Independent (depending on what division you want to sign up for)
Password: intramurals 

Cost: Free!!!

* If you have any questions or concerns about the pick'em league or have any problems registering, please contact Dan O’Leary at ext. 8987 or oleary2@rose-hulman.edu. 


Thanks,
Dan O'Leary
Coordinator for Intramurals, 
Club Sports and Special Events
PHONE: 812-877-8987
CELL: 812-201-79035500 WABASH AVENUE CM 37
TERRE HAUTE, IN 47803-3920
www.rose-hulman.edu"
Art Show Talk - Today cancelled due to illness,"The Rose Women's Club lunchtime talk (3/20) has been cancelled, due to unavailability/illness of the speaker."
"Curious about the ""MOOC"" experience?","Stanford University is again offering a set of Massively Open Online Courses – free of cost, and typically requiring between 1 and 5 hours of work per week.  Among the offerings are a couple of entrepreneurship courses, a creativity course, and a course on designing a new learning environment.
 
If you are curious about the ""MOOC"" experience, this is a good opportunity to explore.
 
http://venture-lab.stanford.edu
 
Kay C Dee"
Selling Car 1999 Volkswagen Jetta,"Very reliable car, great gas milage, 5 speed."
NCAA March Madness-TODAY!!!,"Come to the HSS Department for March Madness!
This Thursday and Friday (March 21st & 22nd) come get your free popcorn, Gatorade and catch the NCAA tournament games on our television and the big screen!
Beginning at 12:15PM and continuing throughout the day or until we run out of snacks!"
New ROSIE Items,Hello Everyone!!!
SRC Expanded Hours,"Dear Campus Community –
 
The Sports and Recreation Center is extremely excited to announce an expansion in our hours of operation to help meet the needs of our campus community members.  Our new hours of operation began on March 4th and will continue the remainder of this quarter.
 
Fieldhouse/Weight Room/Cardio Room/ Locker Room
6am – 1am, Monday – Thursday
6am – 10pm, Friday
10am – 10pm, Saturday
12pm – 12am, Sunday
 
Pool
6am-10am, 11am-1pm and 4pm-8pm,  Monday-Friday
10am-4pm, Saturday
12pm-6pm, Sunday
 
We hope these extended hours will provide greater opportunities for campus community members to utilize the SRC and enhance the campus life experience.  We are thrilled to be able to provide these expanded hours and look forward to seeing you in the SRC!
 
Matt Sinclair
Director for Recreational Sports and Athletic Facilities
PHONE:    812-877-8031
FAX:         812-877-8969
CELL:        812-208-2348
 CM 37
5500 WABASH AVENUE
TERRE HAUTE, IN  47803-3920
www.rose-hulman.edu"
Lost a Jacket,"Hey all, 
I lost a navy blue Nautica jacket. I most likely left it in either Moench or Olin Hall. If anyone has seen it, please let me know @ wadhwav@rose-hulman.edu. Thank you. -- Varun Wadhwa"
Cell phone found today,"A cell phone was found in the restroom outside Olin 201.  If you have lost your cell phone today, please contact me to describe and claim."
Ipad found today!,"An Ipad was found in Myers 111 today.  If you lost your Ipad, please contact me to describe and claim."
Lost Cell Phone,"I lost my Nokia Lumia 920 in Olin today. If found could you please email me back at chanand@rose-hulman.edu or drop it by room in Percopo 105. 

Thank you. 

Dev Chanana"
Lost Hat,"I lost a hat I believe in the SRC last night. It is a black winter under armour hat with Rose-Hulman printed on the front. I wore to the arena last night for IMs and that was the last time I saw it. If found, please email me at dantcm@rose-hulman.edu so I can pick it up. Thank you."
Roommate next fall and winter,"I'm looking for a roommate next year to share my apartment in Heritage Trail.  It is a two-bedroom fully furnished upstairs apartment 5 min off campus.   Rent is very reasonable and aparment comes with washer,dryer, printer, and 54"" tv. It would be ideal if you are graduating after winter quarter or are leaving for a co-op in the spring.  The apartment will be available starting this summer."
Headphones Found,Headphones found in the Union Lobby. Stop by the Hulman Union office to describe and claim.
Lost Red Binder,"Is is red 1 1/2"" binder. Has ME-480 notes in it. Most likely left it in O101 or O203-1. If anyone picked it up or noticed it sitting somewhere please let me know."
March Madness-Last day for popcorn and Gatorade!,"Come to the HSS Department for March Madness!
This Thursday and Friday (March 21st & 22nd) come get your free popcorn, Gatorade and catch the NCAA tournament games on our television and the big screen!
Beginning at 12:15PM and continuing throughout the day or until we run out of snacks!"
Parents' Association Cookbook,This message is being sent on behalf of the Parents' Association.
Honda Dirt Bikes for sale,See attached Descriptions. CRF250 less than 25 hours of riding time.
Cell phone claimed,"This cell phone has been claimed. I do not have any other phones. Thank you.
 
A cell phone was found in the restroom outside Olin 201. If you have lost your cell phone today, please contact me to describe and claim.

Merry Miller Moon
x8276
miller2@rose-hulman.edu

If it is not returned to it's owner by the end of classes Friday, it will be turned in to Public Safety.
Thank you."
Rreminder - Weaver Undergraduate Research Awards Request for Proposals - Summer 2013,"Through the generosity of Joseph and Reba Weaver, Rose-Hulman will award several grants to support undergraduate research. Proposals are invited from individual students in collaboration with a faculty mentor.

Awards will be made to individual students for up to a total of eight weeks during the summer of 2013 as follows: $2500 stipend and on-campus housing. Students who decline RHIT housing shall not receive other housing support. Equipment and supply costs for the research must be provided by the department(s) hosting the research. 
Currently enrolled freshmen, sophomore, and junior students in good standing (not on any kind of probation) are eligible.

Application deadline is Sunday March 24, 2013. Proposals must be submitted electronically to Dr. Allen Broughton (brought@rose-hulman.edu) with a subject heading “Weaver Grant Proposal.” Scanned copies of signature pages will be acceptable. Award notification will be made by April 9, 2013. Funds must be expended by August 31, 2013. 

Awardees will be required to submit a written report of the research (to Dr. Allen Broughton) and give a presentation to members of the Rose-Hulman community. The report and presentation must completed by May 31, 2013. Awardees will not be permitted to engage in any other paid work at Rose-Hulman or Rose-Hulman Ventures during the period of the award.

For complete information please see the attachment. 
For more general information and past proposals see this webpage http://www.rose-hulman.edu/mapub/weaver/home.html"
The Biomedical Engineering Seniors will present their capstone design projects,"The Biomedical Engineering senior class will be presenting their capstone design projects Wednesday, March 27, in room E104, from 9:40 a.m. to 1:35 p.m.  Everyone is welcome to attend any or all of the presentations – details below!
9:40 a.m.         Welcome
 

9:45 a.m.         The Stable-izer
                        A device to be used in equine-assisted therapy that detects when the rider of a horse is leaning away from the vertical position and sounds an alert when the rider needs assistance to correct his or her posture.
                        Team: Genuine Risk Engineering
                              Creasy Clauser
                              Tanya Colonna
                              Alex Schwier
                                Funded by a grant from the National Science Foundation.
 

10:01 a.m....... Cornstarch Dispensing System
                        A device to allow persons with cognitive and/or physical disabilities to more easily and neatly complete the employment task of filling small bags with cornstarch.
                                Team: BEC Engineering
                              Emily Lakes
                              Carley Shumate
                              Brianne Widmoyer
 
                                Funded by a grant from the National Science Foundation.
 

10:17 a.m....... Leg Brace Redesign
                        A leg brace with a flexible knee joint that will allow a person with post-polio syndrome to walk with an improved gait cycle.
                        Team: Brace Yourself
                              Stephen Kays
                              Nick Pilipovich
                              Mac White
                                Funded by a grant from the National Science Foundation.
                                      

10:33 a.m.       Bowling Ball for Individuals with Disabilities
                        A bowling ball designed for use by individuals with low grip strength and/or neuromuscular control.
                        Team: The Perfect Game
                              Sam Brooks
                              Adam Dills
                                                
                                Funded by a grant from the National Science Foundation.
                        

10:49 a.m.       Treadmill Modifications
                        Removable devices that provide support and posture correction cues for a client with traumatic brain injury while performing gait training therapy on a treadmill.
                        Team: Change of Pace 
                              Meredith Clouse
                              Amanda Jacobson
 
                        Funded by a grant from the National Science Foundation.
 

11:05 a.m.       iHorse Simulator
                        A device that simulates the hip motion and core muscle activity experienced when an individual rides a horse, for easier equine-assisted therapy.
                        Team: RMS Able
                              Melissa Montgomery
                              Nicole Richardson
                              Jaqueline Simon
                        Funded by a grant from the National Science Foundation.
 

11:21 a.m.       Locker Independence
                        A discreet device that allows students with disabilities to independently and easily open their lockers at school.
                        Team: Open Sesame
                              Ben Deschaine
                              Andrew May
                              Michael Petro
                        Funded by a grant from the National Science Foundation.
 

11:37 a.m.       Break
                                Refreshments provided by the Department of Applied Biology and Biomedical Engineering.
 

11:52 a.m.       Large Image Board Communication Device
                        A device that a client with cerebral palsy can use to better communicate with the people around her.
                        Team: Daedalus
                              James Grinnell
                              Kevin Weaver
 
                                Funded by a grant from the National Science Foundation.
                        

12:08 p.m.       Therapeutic Saddle
                        A saddle that provides back, hand, and leg support for riders participating in equine-assisted therapy.
                        Team: Supporting Saddles
                              Michael Boyer
                              Peter Moorman
                              Candice Sandberg
                                Funded by a grant from the National Science Foundation.
 

12:34 p.m.       Music Therapy Device
                        A device that allows a person who is blind and has limited motor skills to express his emotions through music. 
                        Team: Airily Hew
                              Whitney Baenziger
                              Erin Davey
                              Alyse Mueller
                                Funded by a grant from the National Science Foundation.
 

12:24 p.m.       Walker with Detachable Table
                        A device to support a young client with cerebral palsy during his frequent seizures, yet also assist his mobility and muscle development.
                        Team: Kid Kinetics
                              Kasie Anderson
                              Neil Dorsey
                              Glen Janson
                              Maggie Schultz
                                Funded by a grant from the National Science Foundation.
 

12:40 p.m.       Japanese Home Mobility Device
                        A device that allows a client in Japan who must remain in a reclining position to move freely and independently around her home.
                        Team: International Navigators
                              Michael Johnson
                              Travis Stallings
                              Devon Trumbauer
                        Funded by a grant from the National Science Foundation.

12:56 p.m.       Moveable Island.............................................................................................. 29-30
                        A device that improves kitchen safety and accessibility for a client with dwarfism.
                        Special thanks to this team’s local client.
                        Team: Top Chef
                              Betsy Jones
                              Anna Lewer
                              Travis Nong 
                                Funded by a grant from the National Science Foundation."
Lost Itouch 4,I lost my itouch4 8G today somewhere in campus between 2:30 and 4:00 in the afternoon. I anyone found it please let me know zhuy3@rose-hulman.edu. Thank you
Peoria?,"I am looking for a ride this break. My final destination is Cedar Rapids, IA so dropping me off anywhere along that path would be fine. A ride to Peoria would be good, but a ride somewhere closer like Davenport would be even better. 
I will help pay for gas $.
Contact: klineal@rose-hulman.edu"
A ride to peoria,"I am looking for a ride this break. My final destination is Cedar Rapids, IA so dropping me off anywhere along that path would be fine. A ride to Peoria would be good, but a ride somewhere closer like Davenport would be even better. I will help pay for gas $. Contact: klineal@rose-hulman.edu"
IM Home Run Derby is Tomorrow!!,"* Reminder: The annual IM Wiffleball Home Run Derby is TOMORROW (March 26th) at 6:30pm in the SRC Hulbert Arena!!!
 
No need to pre-register, just sign up at the registration table set up outside of Hulbert Arena by 6:15pm. There will be a limit of 50 participants for this event, so please arrive by 6:15pm to insure your spot in the competition.



IM Wiffleball Home Run Derby

Who: Open to all Rose-Hulman students (not Rose-Hulman Baseball or Softball Players), faculty and staff. There will be a limit of 50 participants for this event, so please arrive early to insure your spot in the competition. Male and Female participation are both strongly encouraged!!! We will have both a Male and Female Champion for each division; Greek, Residence Hall and Independent. We will have both a male bracket and a female bracket for each round of the derby.

What: Intramural Wiffleball Home Run Derby Competition. Each participant will receive pitches until they obtain 10 outs. Foul balls, swinging strikes and balls that do not clear the “fence” will count towards the 10 outs.

When: Tuesday, March 26th @ 6:30pm. 

Where: Hulbert Arena in the SRC.

Why: Intramural points will be awarded to the winning Residence Hall, Independent, and Greek participants (5 Points) towards the Intramural All Sports Champion. Awards will also be given to the winners.

Additional Details: No need to pre-register. Please arrive at the registration table just outside of Hulbert Arena in the SRC by 6:15pm on Tuesday, March 26th to sign up. There will be a limit of 50 participants for this event, so please arrive early to insure your spot in the Home Run Derby. More details and competition rules are attached to this posting. 

Thank you,

Dan O'Leary
Coordinator for Intramurals, 
Club Sports and Special Events
PHONE: 812-877-8987
CELL: 812-201-79035500 WABASH AVENUE CM 37
TERRE HAUTE, IN 47803-3920
www.rose-hulman.edu"
Selling iP-192 Monitor from I-Inc $70.00,"Brand New price is $90
Asking price is $70
About a year old. In perfect condition except for a few scratches.

Product specifications link:
http://www.tigerdirect.com/applications/SearchTools/item-details.asp?EdpNo=102885"
"Nutrition in College - challenges and solutions; Tuesday, 5th, Kahn","All are invited to a special presentation Tuesday during 5th hour in the Kahn Room...

Nutrition in College: Challenges and Solutions
Katarina Walker, Registered Dietitian and Purdue Extension Educator

Bring your lunch to learn about how to make healthy choices despite limited options and strategies for maintaining a balanced diet.

This event is sponsored by the Live Well Think Well competition and the Student Government Association."
Lenovo w530 dock,"I have a brand new thinkpad w530 dock that i just opened today. it has a 90w charger which is compatible with the freshmen computer but will only charge the computer when it is powered down. Works perfectly fine and comes with everything. 

I would like $140 for it

contact me at 502-370-8879 or milleret@rose-hulman.edu"
Chemistry and Biochemistry Seminar,"Faraday Rotation and Raman Spectroscopy 
of Aqueous Solutions of Ferric Salts.
 
Max Verkamp
Dr. Maarij Syed, PHOE
Dr. Daniel Morris, C&BC
 
Wednesday, March 27
5th period, 11:45 a.m.
Room G315
Faraday Rotation, the rotation of light induced in transparent media by a magnetic field, is a phenomenon commonly used in optical systems.  In this presentation, the application of this technique to chemical systems as a probe of magnetic properties of aqueous iron(III) solutions will be investigated.  The theory of Faraday Rotation will be discussed, followed by a description of the current research and results.  By measuring the rotation of solutions at varying magnetic field strength using a carefully designed optical system with a lock-in amplifier, a material property, the Verdet constant, can be determined.
 
In the present work, ferric chloride and ferric nitrate solutions were prepared at several concentrations, limited at 2.0 M by solubility considerations.  The effect of additional chloride ion on the ferric chloride system was investigated using ferric chloride solutions made with set concentrations of sodium chloride.  A plot of the concentration dependence of the Verdet constant revealed a linear response for ferric nitrate and a non-linear response for ferric chloride.  The non-linearity became more pronounced with additional chloride ion present in solution.  Raman spectra were obtained for all solutions to examine aqueous iron(III) speciation as a possible explanation for the non-linear behavior."
Chemistry and Biochemistry Seminar,"Faraday Rotation and Raman Spectroscopy 
of Aqueous Solutions of Ferric Salts.
 
Max Verkamp
Dr. Maarij Syed, PHOE
Dr. Daniel Morris, C&BC
 
Wednesday, March 27
5th period, 11:45 a.m.
Room G315
Faraday Rotation, the rotation of light induced in transparent media by a magnetic field, is a phenomenon commonly used in optical systems.  In this presentation, the application of this technique to chemical systems as a probe of magnetic properties of aqueous iron(III) solutions will be investigated.  The theory of Faraday Rotation will be discussed, followed by a description of the current research and results.  By measuring the rotation of solutions at varying magnetic field strength using a carefully designed optical system with a lock-in amplifier, a material property, the Verdet constant, can be determined.
 
In the present work, ferric chloride and ferric nitrate solutions were prepared at several concentrations, limited at 2.0 M by solubility considerations.  The effect of additional chloride ion on the ferric chloride system was investigated using ferric chloride solutions made with set concentrations of sodium chloride.  A plot of the concentration dependence of the Verdet constant revealed a linear response for ferric nitrate and a non-linear response for ferric chloride.  The non-linearity became more pronounced with additional chloride ion present in solution.  Raman spectra were obtained for all solutions to examine aqueous iron(III) speciation as a possible explanation for the non-linear behavior."
Selling 27 inch Panasonic CRT HD tv for $10!,The tv is about 700p and also comes with a remote and a RCA-to-VGA cable to connect to a laptop.
Selling fold out loveseat for $20,"It's been hardly used and in great shape.
See pictures

eatonjl@rose-hulman.edu"
Michigan-bound but carless.,"Hey, my name is Max and I'm trying to get home this break. Rideboard is dead, so if anyone using Sharepoint is headed to Michigan this weekend, I'd like to snag a ride with you! I live in Brighton (north of Ann Arbor and west of Detroit) but I can have a drop-off anywhere in the lower half of the state. If you're feeling generous and have any free space, please consider helping me undertake this Unexpected Journey. Contact me at cookmj@rose-hulman.edu to discuss compensation and/or your favorite type of chocolate."
Drunk Driving Simulator,
Student Organization Registration Time & SGA Budget Request Time,"Student Organization Presidents,
 
Rose-Hulman requires all student organizations to register with the Student Activities Office two times per year.  The deadline for the spring registration is Friday, April 12.  
 
To register your organization, you will need to complete the following:
1.      Click here to complete the required online registration form 
2.      Enter all completed community service projects in Banner (if applicable).  See attached “user guide” for help in entering information.
 
SGA FUNDING/BUDGET REQUESTS ARE DUE BY 11:59PM ON FRIDAY, APRIL 12.
Attached are the budgeting requirements and template.  Please contact Bill Tsogtbaatar, SGA Treasurer, if you have questions
 
Remember, you will not be able to reserve space or collect funds from SGA if your club is not registered by the deadline.
 
Please contact me with questions/concerns.
 
Best,
Kristen"
Lost iPod,"Hello all,

I lost my green iPod Nano with a purple case and purple headphones this weekend. If you happen to pick them, please shoot me an email!

Thanks, Grace (johnsog4@rose-hulman.edu)"
"Reminder: Biomedical Engineering Seniors to present their design projects Wednesday, March 27th","The Biomedical Engineering senior class will be presenting their capstone design projects Wednesday, March 27, in room E104, from 9:40 a.m. to 1:35 p.m. Everyone is welcome to attend any or all of the presentations – details below!
9:40 a.m. Welcome


9:45 a.m. The Stable-izer
A device to be used in equine-assisted therapy that detects when the rider of a horse is leaning away from the vertical position and sounds an alert when the rider needs assistance to correct his or her posture.
Team: Genuine Risk Engineering
Creasy Clauser
Tanya Colonna
Alex Schwier
Funded by a grant from the National Science Foundation.


10:01 a.m....... Cornstarch Dispensing System
A device to allow persons with cognitive and/or physical disabilities to more easily and neatly complete the employment task of filling small bags with cornstarch.
Team: BEC Engineering
Emily Lakes
Carley Shumate
Brianne Widmoyer

Funded by a grant from the National Science Foundation.


10:17 a.m....... Leg Brace Redesign
A leg brace with a flexible knee joint that will allow a person with post-polio syndrome to walk with an improved gait cycle.
Team: Brace Yourself
Stephen Kays
Nick Pilipovich
Mac White
Funded by a grant from the National Science Foundation.


10:33 a.m. Bowling Ball for Individuals with Disabilities
A bowling ball designed for use by individuals with low grip strength and/or neuromuscular control.
Team: The Perfect Game
Sam Brooks
Adam Dills

Funded by a grant from the National Science Foundation.


10:49 a.m. Treadmill Modifications
Removable devices that provide support and posture correction cues for a client with traumatic brain injury while performing gait training therapy on a treadmill.
Team: Change of Pace 
Meredith Clouse
Amanda Jacobson

Funded by a grant from the National Science Foundation.


11:05 a.m. iHorse Simulator
A device that simulates the hip motion and core muscle activity experienced when an individual rides a horse, for easier equine-assisted therapy.
Team: RMS Able
Melissa Montgomery
Nicole Richardson
Jaqueline Simon
Funded by a grant from the National Science Foundation.


11:21 a.m. Locker Independence
A discreet device that allows students with disabilities to independently and easily open their lockers at school.
Team: Open Sesame
Ben Deschaine
Andrew May
Michael Petro
Funded by a grant from the National Science Foundation.


11:37 a.m. Break
Refreshments provided by the Department of Applied Biology and Biomedical Engineering.


11:52 a.m. Large Image Board Communication Device
A device that a client with cerebral palsy can use to better communicate with the people around her.
Team: Daedalus
James Grinnell
Kevin Weaver

Funded by a grant from the National Science Foundation.


12:08 p.m. Therapeutic Saddle
A saddle that provides back, hand, and leg support for riders participating in equine-assisted therapy.
Team: Supporting Saddles
Michael Boyer
Peter Moorman
Candice Sandberg
Funded by a grant from the National Science Foundation.


12:34 p.m. Music Therapy Device
A device that allows a person who is blind and has limited motor skills to express his emotions through music. 
Team: Airily Hew
Whitney Baenziger
Erin Davey
Alyse Mueller
Funded by a grant from the National Science Foundation.


12:24 p.m. Walker with Detachable Table
A device to support a young client with cerebral palsy during his frequent seizures, yet also assist his mobility and muscle development.
Team: Kid Kinetics
Kasie Anderson
Neil Dorsey
Glen Janson
Maggie Schultz
Funded by a grant from the National Science Foundation.


12:40 p.m. Japanese Home Mobility Device
A device that allows a client in Japan who must remain in a reclining position to move freely and independently around her home.
Team: International Navigators
Michael Johnson
Travis Stallings
Devon Trumbauer
Funded by a grant from the National Science Foundation.

12:56 p.m. Moveable Island.............................................................................................. 29-30
A device that improves kitchen safety and accessibility for a client with dwarfism.
Special thanks to this team’s local client.
Team: Top Chef
Betsy Jones
Anna Lewer
Travis Nong 
Funded by a grant from the National Science Foundation."
Ride needed,"If you're headed near Washington, DC, Baltimore, MD, or Northern Virginia for break and can take a passenger, send me an email: petersbs@rose-hulman.edu"
LOUD NOISES!!!...,...are coming from a dark blue BMW with its car alarm going off located in the back of the West SRC parking lot (behind the apartments). The license plate is FHT 1960. The alarm has been going off all afternoon. Please rectify this problem.
Work Study Job,The Football Team is looking for any student that is interested in helping out the football team this spring.  There will also be a chance to help out in the fall.  Looking for students that might be interested in being a manager or helping with the film.  Contact davis5@rose-hulman.edu with any questions.
